,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind,Country,Date
368,rawson,-43.3002,-65.1023,67.19,67,100,26.28,AR,1612925553
369,guaruja,-23.9931,-46.2564,78.01,26,35,6.49,BR,1612925344
370,richards bay,-28.783,32.0377,73.51,90,48,1.92,ZA,1612924973
371,saint-joseph,-21.3667,55.6167,78.8,61,0,3.44,RE,1612925479
372,southbridge,42.0751,-72.0334,24.01,86,90,5.75,US,1612925405
373,russell,32.3502,-85.1999,59.0,94,90,3.44,US,1612925497
374,fortuna,40.5982,-124.1573,48.99,100,90,6.91,US,1612925532
375,miramar,25.9873,-80.2323,75.2,83,1,5.75,US,1612925556
376,sosnovoborsk,56.1325,93.3589,5.0,51,0,6.71,RU,1612925557
377,iqaluit,63.7506,-68.5145,1.4,85,75,3.13,CA,1612925557
378,juli,-16.2167,-69.45,45.0,85,100,5.23,PE,1612925558
379,poronaysk,49.2167,143.1167,14.38,86,0,6.91,RU,1612925558
380,xiamen,24.4798,118.0819,64.4,68,90,15.66,CN,1612925351
381,uwajima,33.2238,132.56,48.2,61,20,5.75,JP,1612925559
382,penzance,50.1186,-5.5371,34.0,75,90,35.68,GB,1612925559
383,gambela,8.25,34.5833,75.38,35,7,3.06,ET,1612925559
384,waingapu,-9.6567,120.2641,86.45,66,88,8.14,ID,1612925560
385,craig,40.5153,-107.5464,35.6,75,90,13.8,US,1612925560
386,aleksandrow kujawski,52.8766,18.6935,14.0,91,92,1.19,PL,1612925560
387,lovington,32.944,-103.3485,44.6,57,1,9.22,US,1612925561
388,te anau,-45.4167,167.7167,54.55,80,100,7.11,NZ,1612925561
389,santa teresa,10.2341,-66.6631,78.8,89,40,1.68,VE,1612925562
390,caravelas,-17.7125,-39.2481,73.69,87,100,3.98,BR,1612925562
391,kamakwie,9.5,-12.2333,72.14,88,33,2.93,SL,1612925562
392,arlit,18.7369,7.3853,66.49,21,0,7.56,NE,1612925563
393,benghazi,32.1167,20.0667,62.24,46,0,9.82,LY,1612925564
394,tabora,-5.0167,32.8,63.07,95,100,2.19,TZ,1612925564
395,casa grande,32.8795,-111.7573,66.99,22,1,3.91,US,1612925564
396,camacha,33.0833,-16.3333,60.8,88,20,5.75,PT,1612925565
397,minot,48.2325,-101.2963,-5.8,59,1,10.36,US,1612925565
398,letlhakane,-21.4167,25.5833,66.06,77,83,8.05,BW,1612925544
399,miles city,46.4083,-105.8406,-9.4,70,75,5.75,US,1612925565
400,valdivia,-39.8142,-73.2459,68.0,73,0,2.3,CL,1612925522
401,usinsk,65.9939,57.5281,-24.14,87,93,4.97,RU,1612925566
402,leku,6.8667,38.45,57.15,79,98,5.93,ET,1612925567
403,otane,-39.8833,176.6333,66.0,66,100,5.99,NZ,1612925567
404,tomatlan,19.9333,-105.25,64.0,91,0,1.81,MX,1612925567
405,vanimo,-2.6741,141.3028,85.48,66,89,6.35,PG,1612924990
406,suchdol nad luznici,48.89,14.8772,28.0,93,49,2.35,CZ,1612925568
407,williams lake,52.1415,-122.1445,-4.0,77,90,10.36,CA,1612925528
408,alghero,40.5589,8.3181,57.2,94,0,16.11,IT,1612925569
409,bulgan,48.8125,103.5347,26.04,87,100,1.61,MN,1612925569
410,kulu,39.0951,33.0799,42.75,67,0,9.71,TR,1612925569
411,naze,28.3667,129.4833,64.4,55,75,9.22,JP,1612925528
412,ponta delgada,37.7333,-25.6667,62.01,94,75,19.57,PT,1612925570
413,juneau,58.3019,-134.4197,3.2,39,20,18.41,US,1612925570
414,maniitsoq,65.4167,-52.9,19.94,84,0,5.91,GL,1612925570
415,evensk,61.95,159.2333,15.22,89,100,25.37,RU,1612925554
416,farafangana,-22.8167,47.8333,75.38,88,100,4.72,MG,1612925571
417,deqing,30.5448,119.9599,51.01,77,100,2.55,CN,1612925572
418,kabare,-2.4683,28.8242,61.25,78,100,1.66,CD,1612925092
419,mount isa,-20.7333,139.5,93.2,46,75,9.22,AU,1612925572
420,miraflores,19.2167,-98.8083,66.2,34,75,11.5,MX,1612925573
421,havre-saint-pierre,50.2334,-63.5986,5.0,66,1,11.5,CA,1612925573
422,cidreira,-30.1811,-50.2056,74.62,80,94,17.87,BR,1612925573
423,chernyshevskiy,63.0128,112.4714,-10.98,91,100,9.33,RU,1612925574
424,hami,42.8,93.45,37.96,64,100,6.31,CN,1612925574
425,neuquen,-38.9516,-68.0591,77.0,50,0,5.75,AR,1612925574
426,birao,10.2849,22.7882,61.79,28,75,6.31,CF,1612925575
427,galle,6.0367,80.217,77.43,80,81,5.06,LK,1612925374
428,compostela,7.6731,126.0889,84.96,71,90,1.63,PH,1612925575
429,emerald,-23.5333,148.1667,82.4,54,90,10.36,AU,1612925576
430,kamaishi,39.2667,141.8833,33.8,86,75,11.5,JP,1612925578
431,chiredzi,-21.05,31.6667,68.63,95,97,2.75,ZW,1612925578
432,amilly,47.9728,2.7719,32.0,98,100,1.99,FR,1612925578
433,dongsheng,39.8161,109.9776,34.65,64,0,12.03,CN,1612925579
434,merauke,-8.4667,140.3333,85.96,70,87,6.89,ID,1612925579
435,carnot,4.9409,15.8665,61.56,28,79,2.77,CF,1612925579
436,tigil,57.8,158.6667,30.25,91,3,21.88,RU,1612925580
437,avera,33.194,-82.5271,59.0,89,90,3.58,US,1612925580
438,huangchuan,32.1272,115.0394,55.53,52,100,3.36,CN,1612925580
439,kungurtug,50.5994,97.5228,19.24,93,100,3.53,RU,1612925040
440,bathsheba,13.2167,-59.5167,75.2,78,75,14.97,BB,1612925581
441,sao filipe,14.8961,-24.4956,69.78,77,27,10.96,CV,1612925581
442,guerrero negro,27.9769,-114.0611,57.97,83,0,14.27,MX,1612925582
443,chulman,56.8479,124.9104,8.22,92,6,3.36,RU,1612924999
444,gohpur,26.8833,93.6333,69.58,46,0,5.7,IN,1612925582
445,bandar-e lengeh,26.5579,54.8807,66.2,45,62,6.91,IR,1612925583
446,celendin,-6.8703,-78.1517,55.63,82,100,2.8,PE,1612925583
447,banda aceh,5.5577,95.3222,84.0,67,38,7.87,ID,1612925341
448,lasa,46.6166,10.7002,37.99,100,90,3.44,IT,1612925584
